price,size,exchange
76323.07,0.345433,Bybit
76323.08,0.175018,Bybit
76324.08,0.040761,Bybit
76324.19,6.5e-05,Bybit
76324.2,0.018715,Bybit
76324.23,0.018723,Bybit
76324.25,0.018725,Bybit
76324.33,0.011983,Bybit
76324.39,0.087045,Bybit
76324.87,0.018705,Bybit
76325.18,0.003931,Bybit
76325.37,0.018717,Bybit
76325.56,0.018716,Bybit
76325.58,0.037431,Bybit
76325.61,0.018723,Bybit
76325.68,0.011275,Bybit
76325.7,0.007601,Bybit
76325.73,0.056176,Bybit
76325.78,0.01872,Bybit
76325.8,0.018738,Bybit
76325.84,0.015693,Bybit
76325.87,0.018733,Bybit
76325.92,0.001759,Bybit
76325.95,0.009897,Bybit
76325.97,0.020313,Bybit
76326.02,0.003931,Bybit
76326.05,0.009898,Bybit
76326.06,0.007601,Bybit
76326.11,0.018737,Bybit
76326.22,0.018733,Bybit
76326.25,0.004678,Bybit
76326.66,0.014083,Bybit
76326.67,0.00159,Bybit
76326.89,0.025,Bybit
76327.51,0.04,Bybit
76327.65,0.04062,Bybit
76328.26,0.00159,Bybit
76328.28,0.005199,Bybit
76328.46,0.013102,Bybit
76328.89,0.026204,Bybit
76328.96,0.00159,Bybit
76329.17,0.015558,Bybit
76329.82,0.029638,Bybit
76330.02,0.007861,Bybit
76330.25,0.02,Bybit
76330.26,0.013102,Bybit
76330.48,7.2e-05,Bybit
76330.55,0.00159,Bybit
76331.24,0.085747,Bybit
76331.25,0.00159,Bybit
76339.74,3.06197,Binance
76339.75,0.01211,Binance
76339.76,0.0001,Binance
76339.78,0.0021,Binance
76339.79,0.0001,Binance
76339.81,0.0001,Binance
76339.88,0.0001,Binance
76339.99,0.0021,Binance
76340.0,0.36769,Binance
76340.06,0.00018,Binance
76340.07,0.0001,Binance
76340.09,0.0001,Binance
76340.23,0.0001,Binance
76340.26,0.0001,Binance
76340.37,0.0001,Binance
76340.39,0.0001,Binance
76340.46,0.0001,Binance
76340.48,0.00018,Binance
76340.49,0.0263,Binance
76340.83,0.00354,Binance
76341.14,0.00207,Binance
76341.21,0.01,Binance
76341.42,0.26186,Binance
76341.73,0.0001,Binance
76342.0,0.0842,Binance
76342.55,0.14,Binance
76342.71,0.26185,Binance
76342.72,0.0229,Binance
76342.73,0.0141,Binance
76342.78,0.20576,Binance
76343.25,0.01309,Binance
76344.0,0.0842,Binance
76344.01,0.01133,Binance
76344.1,0.094,Binance
76344.14,0.19615,Binance
76344.15,0.16,Binance
76344.6,0.23633,Binance
76344.63,0.00022,Binance
76344.72,0.00019,Binance
76345.35,0.01,Binance
76345.5,0.1048,Binance
76346.0,0.1242,Binance
76346.01,0.026,Binance
76346.42,0.01309,Binance
76346.52,0.00014,Binance
76346.73,0.26184,Binance
76347.37,0.52285,Binance
76347.38,0.588,Binance
76347.52,0.0001,Binance
76347.81,0.00372,Binance
76347.83,0.0015,Binance
76348.0,0.0842,Binance
76348.07,0.0002,Binance
76348.44,0.00022,Binance
76348.66,0.00038,Binance
76348.72,0.25252,Binance
76348.81,0.00039,Binance
76348.88,7e-05,Binance
76348.94,0.014,Binance
76349.0,0.1048,Binance
76349.19,0.03928,Binance
76349.34,0.19186,Binance
76349.38,0.16193,Binance
76349.44,0.03928,Binance
76349.53,0.00655,Binance
76349.93,0.20084,Binance
76350.0,0.13816,Binance
76350.01,0.0024,Binance
76350.23,0.26185,Binance
76351.0,0.00131,Binance
76351.27,0.52203,Binance
76351.68,0.50632,Binance
76351.74,0.0012,Binance
76351.75,0.27036,Binance
76352.0,0.0842,Binance
76352.01,0.19615,Binance
76352.09,0.03928,Binance
76352.18,0.2,Binance
76352.29,0.26182,Binance
76352.5,0.1048,Binance
76352.7,7e-05,Binance
76353.28,0.26185,Binance
76353.99,0.00046,Binance
76354.0,0.0842,Binance
76354.16,0.00014,Binance
76354.26,0.1842,Binance
76354.32,0.0011,Binance
76354.65,0.27766,Binance
76355.0,0.00019,Binance
76355.01,0.003,Binance
76355.17,0.0001,Binance
76355.33,0.01309,Binance
76355.46,0.12439,Binance
76355.47,0.03928,Binance
76355.71,0.02619,Binance
76356.0,0.131,Binance
