price,size,exchange
76339.73,5.39659,Binance
76339.72,0.0001,Binance
76339.71,0.0068,Binance
76339.7,0.0001,Binance
76339.69,0.00023,Binance
76339.68,0.0001,Binance
76339.65,0.0001,Binance
76339.62,0.0001,Binance
76339.6,0.0001,Binance
76339.59,0.0001,Binance
76339.55,0.00019,Binance
76339.46,0.0001,Binance
76339.43,0.0001,Binance
76339.39,0.00025,Binance
76339.34,0.0001,Binance
76339.12,0.19196,Binance
76339.02,0.0001,Binance
76338.98,0.0263,Binance
76338.95,1.18685,Binance
76338.92,2.96404,Binance
76338.91,0.00051,Binance
76338.88,0.00014,Binance
76338.81,0.01,Binance
76338.77,0.26187,Binance
76338.5,0.1048,Binance
76338.46,0.10759,Binance
76338.33,0.00014,Binance
76338.0,0.0842,Binance
76337.84,0.02604,Binance
76337.71,0.00051,Binance
76337.44,7e-05,Binance
76337.4,0.26187,Binance
76337.16,7e-05,Binance
76336.55,0.01309,Binance
76336.48,0.0001,Binance
76336.41,0.093,Binance
76336.0,0.08471,Binance
76335.85,0.03928,Binance
76335.83,0.04,Binance
76335.07,1.17847,Binance
76335.0,0.1048,Binance
76334.89,0.19588,Binance
76334.66,0.22516,Binance
76334.64,0.92378,Binance
76334.31,0.03928,Binance
76334.25,0.00011,Binance
76334.0,0.0842,Binance
76333.63,7e-05,Binance
76333.38,0.01309,Binance
76333.35,7e-05,Binance
76333.33,0.03839,Binance
76333.16,0.03928,Binance
76333.09,0.00327,Binance
76332.19,0.3929,Binance
76332.09,0.003,Binance
76332.03,0.0916,Binance
76332.01,1.17847,Binance
76332.0,0.0262,Binance
76331.94,0.585,Binance
76331.76,0.03928,Binance
76331.63,0.00655,Binance
76331.5,0.1048,Binance
76331.36,0.1842,Binance
76331.24,0.00014,Binance
76331.18,0.03401,Binance
76331.17,0.92052,Binance
76331.0,0.26189,Binance
76330.89,0.02601,Binance
76330.75,0.25198,Binance
76330.13,0.03928,Binance
76330.0,0.03342,Binance
76329.81,7e-05,Binance
76329.8,0.06051,Binance
76329.79,0.00102,Binance
76329.54,7e-05,Binance
76329.44,0.00275,Binance
76329.0,0.08,Binance
76328.84,0.0001,Binance
76328.8,0.03927,Binance
76328.43,0.03274,Binance
76328.39,0.03928,Binance
76328.38,1.17847,Binance
76328.02,0.2,Binance
76328.01,0.00316,Binance
76328.0,0.131,Binance
76327.97,0.00051,Binance
76327.79,0.00032,Binance
76327.66,0.01324,Binance
76327.27,0.52387,Binance
76327.2,0.16,Binance
76326.87,0.014,Binance
76326.61,2.03099,Binance
76326.6,0.52387,Binance
