Price,Size,Side
27900.18000000,0.00066000,sell
27900.12000000,0.01669000,sell
27900.11000000,0.00129000,sell
27900.09000000,0.00047000,sell
27900.07000000,0.01700000,sell
27900.05000000,0.00042000,sell
27900.00000000,8.15348000,sell
27899.99000000,0.00125000,sell
27899.95000000,0.00048000,sell
27899.91000000,0.00915000,sell
27899.80000000,0.00313000,sell
27899.77000000,0.00134000,sell
27899.76000000,0.00042000,sell
27899.7,0.00147254,sell
27899.68000000,0.00039000,sell
27899.66000000,0.00043000,sell
27899.56000000,0.00239000,sell
27899.54000000,0.00411000,sell
27899.51000000,0.00061000,sell
27899.38000000,0.00067000,sell
27899.32000000,0.00052000,sell
27899.3,0.00001215,sell
27899.27000000,0.00312000,sell
27899.2,0.02795858,sell
27899.11000000,0.00065000,sell
27899.01000000,0.01640000,sell
27899.00000000,0.97223000,sell
27899,0.00043694,sell
27898.99000000,0.00146000,sell
27898.95000000,0.00091000,sell
27898.93000000,0.00073000,sell
27898.85000000,0.00084000,sell
27898.72000000,0.00043000,sell
27898.7,0.01,sell
27898.66000000,0.00082000,sell
27898.65000000,0.01084000,sell
27898.6,0.00050366,sell
27898.50000000,0.00163000,sell
27898.5,0.00051585,sell
27898.43000000,0.38217000,sell
27898.4,0.00002173,sell
27898.35000000,0.00039000,sell
27898.33000000,0.01012000,sell
27898.3,0.00095389,sell
27898.20000000,0.00084000,sell
27898.2,0.00244244,sell
27898.19000000,0.00037000,sell
27898.17000000,0.00618000,sell
27898.14000000,0.00405000,sell
27898.1,0.00002615,sell
27898.00000000,0.00156000,sell
27898,0.00013713,sell
27897.75000000,0.00039000,sell
27897.68000000,0.00041000,sell
27897.67000000,0.00154000,sell
27897.64000000,0.00038000,sell
27897.6,0.00066372,sell
27897.56000000,0.00039000,sell
27897.54000000,0.00644000,sell
27897.53000000,0.02063000,sell
27897.5,0.00060367,sell
27897.41000000,0.00042000,sell
27897.39000000,0.00283000,sell
27897.36000000,0.00038000,sell
27897.27000000,0.00135000,sell
27897.23000000,0.00291000,sell
27897.2,0.00001767,sell
27897.19000000,0.00042000,sell
27897.15000000,0.00075000,sell
27897.14000000,0.00038000,sell
27897.11000000,0.01000000,sell
27897.1,0.0002872,sell
27897.09000000,0.00047000,sell
27897.07000000,0.00044000,sell
27897.02000000,0.00074000,sell
27897.00000000,0.06168000,sell
27897,0.00108236,sell
27896.93000000,0.00040000,sell
27896.92000000,0.00044000,sell
27896.91000000,0.00041000,sell
27896.90000000,0.00094000,sell
27896.9,0.00002949,sell
27896.8,0.00010761,sell
27896.71000000,0.00054000,sell
27896.7,0.00011013,sell
27896.67000000,0.00106000,sell
27896.62000000,0.00056000,sell
27896.60000000,0.00050000,sell
27896.6,0.00004102,sell
27896.52000000,0.00040000,sell
27896.49000000,0.00043000,sell
27896.47000000,0.00061000,sell
27896.43000000,0.00139000,sell
27896.3,0.00773718,sell
27896.27000000,0.18696000,sell
27896.22000000,0.01015000,sell
27896.12000000,0.00061000,sell
27896.10000000,0.00899000,sell
27896.1,0.00015638,sell
27896.05000000,0.00194000,sell
27896.03000000,0.00046000,sell
27896.00000000,0.00093000,sell
27895.97000000,0.00079000,sell
27895.96000000,0.00105000,sell
27895.9,0.00022813,sell
27895.77000000,0.00039000,sell
27895.74000000,0.00078000,sell
27895.73000000,0.00382000,sell
27895.71000000,0.01611000,sell
27895.7,1.79576314,sell
27895.65000000,0.00055000,sell
27895.63000000,0.00043000,sell
27895.6,0.0000102,sell
27895.56000000,0.00086000,sell
27895.55000000,0.00055000,sell
27895.54000000,0.00150000,sell
27895.51000000,0.00055000,sell
27895.48000000,0.00066000,sell
27895.44000000,0.00039000,sell
27895.42000000,0.00039000,sell
27895.4,0.00441703,sell
27895.32000000,0.00045000,sell
27895.2,0.00017925,sell
27895.16000000,0.00045000,sell
27895.14000000,0.00651000,sell
27895.11000000,0.00056000,sell
27895.1,0.00091509,sell
27895.09000000,0.00044000,sell
27895.07000000,0.00053000,sell
27895.05000000,0.00191000,sell
27895.00000000,0.16101000,sell
27895,0.00004245,sell
27894.98000000,0.00045000,sell
27894.92000000,0.00056000,sell
27894.9,0.00004882,sell
27894.87000000,0.00420000,sell
27894.82000000,0.00185000,sell
27894.80000000,0.00102000,sell
27894.8,0.00150136,sell
27894.73000000,0.00272000,sell
27894.72000000,0.00040000,sell
27894.43000000,0.00404000,sell
27894.4,0.00027235,sell
27894.3,0.0001083,sell
27894.23000000,0.00101000,sell
27894.2,0.02011619,sell
27894.00000000,0.00121000,sell
27894,0.00003199,sell
27893.98000000,0.00239000,sell
27893.97000000,0.00045000,sell
27893.9,2.15701785,sell
27893.89000000,0.00134000,sell
27893.87000000,0.00038000,sell
27893.8,0.00002174,sell
27893.75000000,0.00042000,sell
27893.70000000,0.00040000,sell
27893.7,0.03637646,sell
27893.60000000,0.00071000,sell
27893.6,0.00137989,sell
27893.51000000,0.00181000,sell
27893.33000000,0.00112000,sell
27893.32000000,0.00110000,sell
27893.3,0.0000884,sell
27893.20000000,0.00240000,sell
27893.06000000,0.00080000,sell
27893,0.00119687,sell
27892.97000000,0.00100000,sell
27892.9,0.00040824,sell
27892.85000000,0.01514000,sell
27892.8,0.00002621,sell
27892.65000000,0.00038000,sell
27892.62000000,0.00075000,sell
27892.6,0.045,sell
27892.58000000,0.00156000,sell
27892.5,0.00001726,sell
27892.4,0.00019879,sell
27892.33000000,0.00305000,sell
27892.2,0.00001864,sell
27892.11000000,0.01803000,sell
27892.1,0.00002664,sell
27892.06000000,0.00052000,sell
27892.01000000,0.00174000,sell
27892.00000000,0.03681000,sell
27892,0.00003454,sell
27891.88000000,0.00039000,sell
27891.82000000,0.01680000,sell
27891.8,0.0000988,sell
27891.73000000,0.00109000,sell
27891.71000000,0.00760000,sell
27891.70000000,0.00036000,sell
27891.66000000,0.00085000,sell
27891.6,0.00014015,sell
27891.57000000,0.00098000,sell
27891.56000000,0.23142000,sell
27891.5,0.00088881,sell
27891.46000000,0.00059000,sell
27891.41000000,0.00054000,sell
27891.4,0.000052,sell
27891.38000000,0.00079000,sell
27891.35000000,0.00132000,sell
27891.30000000,0.00076000,sell
27891.3,0.0001634,sell
27891.25000000,0.00223000,sell
27891.23000000,0.00043000,sell
27891.15000000,0.00043000,sell
27891.14000000,0.00061000,sell
27891.11000000,0.01524000,sell
27891.1,0.00200354,sell
27891.03000000,0.00067000,sell
27891.00000000,0.50157000,sell
27891,0.00244633,sell
27890.97000000,0.00039000,sell
27890.96000000,0.00388000,sell
27890.92000000,0.00399000,sell
