Price,Size,Side
27797.1,0.00038,sell
27796.9,0.00042,sell
27796.8,0.00278,sell
27796.7,0.00743,sell
27796.6,0.00042,sell
27796.6,0.00049,sell
27796.5,0.00021687,sell
27796.4,0.00037,sell
27796.4,2.505e-05,sell
27796.4,0.00114,sell
27796.3,0.00044,sell
27796.2,0.00101,sell
27796.2,0.00038,sell
27796.2,0.01192,sell
27796.1,0.00055,sell
27796.1,0.00052,sell
27796.1,0.00038,sell
27796,0.00504,sell
27796,0.0004906,sell
27796,0.00066,sell
27795.9,0.02153,sell
27795.9,0.0007,sell
27795.8,3.441e-05,sell
27795.8,0.00066,sell
27795.7,0.00084,sell
27795.6,0.00325,sell
27795.5,0.00015806,sell
27795.4,0.00044,sell
27795.4,0.00068,sell
27795.3,4.882e-05,sell
27795.2,0.00041,sell
27795.1,0.0004,sell
27795.1,0.00047,sell
27795.1,0.00044,sell
27795,0.00107,sell
27795,0.00038,sell
27795,0.00014863,sell
27794.9,0.00049,sell
27794.9,0.00119687,sell
27794.9,0.00048,sell
27794.8,0.00598,sell
27794.8,0.00047,sell
27794.8,0.00052,sell
27794.8,0.00088,sell
27794.7,6.167e-05,sell
27794.7,0.00118,sell
27794.6,0.00014959,sell
27794.5,0.00062,sell
27794.5,0.000307,sell
27794.5,0.00147,sell
27794.4,0.0006,sell
27794.4,0.001,sell
27794.4,0.01967,sell
27794.3,1.846e-05,sell
27794.1,0.0013,sell
27794.1,3.221e-05,sell
27794,0.00046,sell
27794,0.00618281,sell
27794,0.0071,sell
27793.9,0.00352,sell
27793.9,0.00043,sell
27793.7,6.262e-05,sell
27793.7,0.00056,sell
27793.7,0.00239,sell
27793.6,0.0007,sell
27793.6,0.0127764,sell
27793.6,0.00094,sell
27793.5,0.00304,sell
27793.5,0.00135,sell
27793.4,1.399e-05,sell
27793.4,0.00155,sell
27793.3,0.00047,sell
27793.3,4.013e-05,sell
27793.3,0.03039,sell
27793.2,0.00612,sell
27793.2,0.00124,sell
27793.1,0.0365137,sell
27793.1,0.00133,sell
27793,0.00371055,sell
27793,0.03608,sell
27792.9,0.102011,sell
27792.8,0.00063207,sell
27792.7,0.0108,sell
27792.7,0.00062173,sell
27792.6,0.00046529,sell
27792.6,0.00061,sell
27792.6,0.00037,sell
27792.5,0.00160632,sell
27792.5,0.00075,sell
27792.4,1.085e-05,sell
27792.4,0.00042,sell
27792.3,0.00128,sell
27792.3,0.00053,sell
27792.3,4.993e-05,sell
27792.2,0.00098,sell
27792.2,0.00037,sell
27792.2,2.655e-05,sell
27792.1,0.01025,sell
27792.1,0.00047103,sell
27792,0.00559,sell
27792,0.0004,sell
27791.9,0.00017991,sell
27791.9,0.00042,sell
27791.8,0.00191,sell
27791.8,0.06504,sell
27791.7,0.00045,sell
27791.7,0.010824,sell
27791.6,0.0009,sell
27791.6,0.00478,sell
27791.6,0.00018405,sell
27791.6,0.0024,sell
27791.5,3.182e-05,sell
27791.5,0.00312,sell
27791.5,0.01694,sell
27791.4,0.00558,sell
27791.4,0.0006471,sell
27791.3,0.0004,sell
27791.2,0.00022234,sell
27791.2,0.00607,sell
27791.1,0.00091,sell
27791,1.389e-05,sell
27790.9,0.01,sell
27790.8,0.00039,sell
27790.8,0.00130502,sell
27790.8,0.00045,sell
27790.7,0.00215,sell
27790.7,0.00047,sell
27790.5,0.00170366,sell
27790.5,0.00161,sell
27790.5,0.00189,sell
27790.4,0.00496,sell
27790.4,0.00060672,sell
27790.4,0.0035,sell
27790.3,0.06666,sell
27790.3,0.00119,sell
27790.3,0.00036063,sell
27790.2,0.00039,sell
27790.2,2.542e-05,sell
27790.2,0.00036,sell
27790.2,0.00097,sell
27790,0.00635,sell
27790,0.00289,sell
27790,0.00039286,sell
27790,0.19663,sell
27790,0.00039,sell
27790,0.00047,sell
27789.9,0.0044,sell
27789.9,0.00581781,sell
27789.9,0.00039,sell
27789.8,0.00038,sell
27789.8,0.00066,sell
27789.8,0.00131,sell
27789.7,0.1431,sell
27789.7,0.00036536,sell
27789.5,0.00648,sell
27789.4,1.474e-05,sell
27789.3,0.00183,sell
27789.3,0.00038,sell
27789.1,4.102e-05,sell
27789.1,0.00075,sell
27789,0.00041,sell
27788.9,0.02506,sell
27788.9,0.00039,sell
27788.9,0.00252,sell
27788.8,0.00042,sell
27788.8,0.00039,sell
27788.8,0.00086,sell
27788.8,0.00017122,sell
27788.8,0.00333,sell
27788.7,8.911e-05,sell
27788.7,0.00072,sell
27788.6,0.00411,sell
27788.6,0.00041,sell
27788.6,0.00037,sell
27788.5,4.745e-05,sell
27788.5,0.01544,sell
27788.5,0.00174,sell
27788.4,0.00047,sell
27788.4,0.00044435,sell
27788.4,0.00138,sell
27788.4,0.00042,sell
27788.1,0.00159,sell
27788.1,0.0036,sell
27788.1,0.00039,sell
27788,0.00072,sell
27788,1.05008,sell
27788,0.0004,sell
27787.8,0.00135,sell
27787.8,0.00801659,sell
27787.8,0.00047,sell
27787.6,1.752e-05,sell
27787.6,0.00142,sell
27787.5,0.00212,sell
27787.5,0.00169,sell
27787.4,0.18834,sell
27787.3,0.00042,sell
27787.3,4.898e-05,sell
27787.2,0.0292875,sell
27787.2,0.00108,sell
27787,0.00576,sell
27787,2.16478,sell
27787,0.00039,sell
27786.8,0.00010659,sell
27786.7,0.00044,sell
27786.7,7.149e-05,sell
27786.7,0.00039,sell
27786.7,0.00314,sell
27786.6,0.00072255,sell
27786.5,0.0005,sell
27786.5,0.0180403,sell
27786.5,0.01802,sell
27786.5,0.00039,sell
27786.3,0.00037,sell
27786.2,0.00674,sell
27786.2,0.00043,sell
27786.1,0.00377,sell
27785.8,0.00042,sell
27785.8,0.00054921,sell
27785.7,0.0246,sell
27785.7,1.763e-05,sell
27785.6,0.00095,sell
27785.6,0.0004,sell
27785.6,1.001e-05,sell
27785.6,0.01597,sell
27785.6,0.00176,sell
27785.5,0.01829,sell
27785.4,0.00238197,sell
27785.4,0.0065,sell
27785.4,0.00087,sell
27785.3,2.98605,sell
27785.1,0.00137,sell
27785,0.00235355,sell
27785,0.00066,sell
27784.9,0.00564147,sell
27784.8,0.0006,sell
27784.7,0.00377,sell
27784.7,0.00058,sell
27784.7,0.00248,sell
27784.7,0.03608,sell
27784.7,0.00045,sell
27784.6,0.00048785,sell
27784.6,0.00045,sell
27784.5,0.00286,sell
27784.5,0.00043,sell
27784.5,0.03102,sell
27784.4,0.00042,sell
27784.3,1,sell
27784.3,0.00592,sell
27784.3,0.00285,sell
27784.2,0.00247,sell
27784.2,0.01,sell
27784.2,0.01512,sell
27784.2,0.00172,sell
27784.1,0.00064,sell
27784.1,2.711e-05,sell
27784.1,0.00169,sell
27784.1,0.0058,sell
27784,0.00013757,sell
27783.9,0.00010917,sell
27783.9,0.06533,sell
27783.8,0.03182,sell
27783.8,0.0100874,sell
27783.8,0.00039,sell
27783.7,0.0004,sell
27783.6,0.00326,sell
27783.5,0.00188,sell
27783.5,0.00103131,sell
27783.4,0.00056489,sell
27783.3,0.00197,sell
27783.3,0.00018048,sell
27783.3,0.01015,sell
27783.2,0.00039,sell
27783.1,0.00041,sell
27783.1,0.0005,sell
27783.1,0.00055,sell
27783,0.00041,sell
27783,1.905e-05,sell
27783,0.00213,sell
27783,0.00175,sell
27783,0.0005,sell
27783,2.16469,sell
27782.9,0.00079,sell
27782.8,0.00227,sell
27782.8,0.00047,sell
27782.7,0.00037,sell
27782.7,0.00053,sell
27782.7,0.00036423,sell
27782.7,0.00045,sell
27782.7,0.00089,sell
27782.6,0.00412,sell
27782.6,0.01051,sell
27782.5,0.00239,sell
27782.5,0.001,sell
27782.5,0.24,sell
27782.4,0.0200633,sell
27782.2,0.00127,sell
27782.2,0.00181,sell
27782.2,0.00086,sell
27782.1,0.00071,sell
27782,0.0026,sell
27782,0.00091,sell
27782,1.001e-05,sell
27782,0.00837,sell
27781.9,0.00119829,sell
27781.8,0.010824,sell
27781.8,0.00065,sell
27781.8,0.00093,sell
27781.7,0.00126,sell
27781.7,1.153e-05,sell
27781.6,0.00048,sell
27781.6,4.56e-05,sell
27781.6,0.00043,sell
27781.5,0.00038,sell
27781.5,0.00045,sell
27781.4,0.00038,sell
27781.3,0.00192,sell
27781.3,7.582e-05,sell
27781.2,0.00083673,sell
27781.2,0.00055,sell
27781.2,0.0007,sell
27781.1,0.04127,sell
27781.1,0.00776568,sell
27781.1,0.07199,sell
27781,0.00064,sell
27781,1.602e-05,sell
27781,0.00088,sell
27780.8,0.00027802,sell
27780.7,0.00038,sell
27780.6,0.00116,sell
27780.6,3.385e-05,sell
27780.6,0.03243,sell
27780.5,0.02522,sell
27780.5,0.00010222,sell
27780.5,0.00084,sell
27780.5,0.00232,sell
27780.4,0.00042,sell
27780.4,0.00028473,sell
27780.4,0.00152,sell
27780.4,0.02052,sell
27780.3,0.02687,sell
27780.3,7.044e-05,sell
27780.2,0.00255,sell
27780.2,0.00087,sell
27780.2,0.00039,sell
27780,0.00091,sell
27780,0.00189,sell
27780,0.00089,sell
27780,0.42413,sell
27780,0.00303106,sell
27779.9,0.00036351,sell
27779.8,0.00037,sell
27779.7,0.00293,sell
27779.7,0.0010066,sell
27779.6,0.08337,sell
27779.6,0.00166,sell
27779.6,0.00023626,sell
27779.6,0.00195,sell
27779.5,0.3,sell
27779.5,2.886e-05,sell
27779.5,0.01695,sell
27779.4,0.00037,sell
27779.2,0.00037,sell
27779.1,1.183e-05,sell
27779,0.00038,sell
27778.9,3.504e-05,sell
27778.9,0.00039,sell
27778.8,0.00101,sell
27778.8,8.972e-05,sell
27778.8,0.0004,sell
27778.6,0.0004,sell
27778.5,0.08436,sell
27778.5,6.222e-05,sell
27778.4,0.00269,sell
27778.4,9.512e-05,sell
27778.3,0.00221,sell
27778.3,2.433e-05,sell
27778.2,0.03974,sell
27778.2,0.00038456,sell
27778.1,0.08377,sell
27778,0.0005,sell
27778,1.144e-05,sell
27777.8,0.00048452,sell
27777.8,0.00133,sell
27777.8,0.00198,sell
27777.7,0.00641979,sell
27777.7,0.07199,sell
27777.4,0.00141699,sell
27777.4,0.00115,sell
27777.3,0.00042,sell
27777.2,0.00082,sell
27777.2,0.00041,sell
27777.2,1.001e-05,sell
27777.2,0.0027,sell
27777.1,0.015006,sell
27777,0.00039,sell
27777,0.00125074,sell
27777,0.02828,sell
27777,0.00239,sell
27777,0.00126,sell
27776.9,0.0004,sell
27776.9,0.00681291,sell
27776.9,0.0007,sell
27776.8,0.00057,sell
27776.8,0.0009,sell
27776.8,2.377e-05,sell
27776.8,0.01803,sell
27776.6,0.0008,sell
27776.6,7.607e-05,sell
27776.6,0.00046,sell
27776.5,0.00050219,sell
27776.5,0.00039,sell
27776.4,0.00161301,sell
27776.4,0.03615,sell
27776.3,0.00106,sell
27776.3,1.01e-05,sell
27776.2,0.00055,sell
27776.1,0.01297,sell
27776,0.190501,sell
27776,0.00079,sell
27776,0.00362,sell
27775.9,0.00362,sell
27775.8,0.00070664,sell
27775.8,0.00069,sell
27775.7,0.01245,sell
27775.7,4.377e-05,sell
27775.6,0.00802,sell
27775.5,1.82536,sell
27775.5,0.00718,sell
27775.4,0.00039,sell
27775.4,0.00071,sell
27775.4,0.00074769,sell
27775.4,0.00047,sell
27775.3,1.5,sell
27775.3,0.90002,sell
27775.3,0.00013969,sell
27775.2,0.00039,sell
27775.1,6.99e-05,sell
27775,0.00071748,sell
27775,0.02196,sell
27774.9,0.18834,sell
27774.9,6.837e-05,sell
27774.9,0.00578,sell
27774.9,0.5,sell
27774.8,0.0009,sell
27774.8,0.00125,sell
27774.7,0.00043,sell
27774.6,0.00056,sell
27774.6,0.0005,sell
27774.6,0.948,sell
27774.5,0.00022101,sell
27774.4,0.00103,sell
27774.3,0.00115,sell
27774.3,5.724e-05,sell
27774.2,2.721e-05,sell
27774.2,0.00089,sell
27774.1,0.0031525,sell
27774.1,0.00055,sell
27774.1,0.00052,sell
27774,0.0018,sell
27773.9,0.00064,sell
27773.9,0.00117,sell
27773.8,0.00051,sell
27773.8,7.579e-05,sell
27773.8,0.00044,sell
27773.7,0.00037,sell
27773.7,0.00358,sell
27773.7,3.562e-05,sell
27773.6,0.0004,sell
27773.6,0.00055,sell
27773.6,0.00213091,sell
27773.5,0.0045,sell
27773.5,1.326e-05,sell
27773.4,0.0005,sell
27773.3,0.00138,sell
27773.3,0.00432642,sell
27773.3,0.00097,sell
27773.2,3,sell
27773.2,0.00147,sell
27773.2,0.0007,sell
27773.1,0.00133,sell
27773.1,0.00039,sell
27773,0.00042,sell
27773,2.461e-05,sell
27772.9,0.00042,sell
27772.9,0.07751,sell
27772.9,0.00065,sell
